#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover

1,2023/11/29,521.00,0.13,525.00,520.00,520.00,147,"76,836.40"
2,2023/11/28,520.30,-4.18,542.00,515.00,533.00,940,"489,200.20"
3,2023/11/27,543.00,1.5,544.00,524.00,544.00,218,"116,015.30"
4,2023/11/26,535.00,-0.74,545.00,528.50,528.50,537,"288,384.20"
5,2023/11/23,539.00,-0.37,540.00,520.00,540.00,291,"152,982.60"
6,2023/11/22,541.00,4.04,541.00,515.00,515.00,632,"330,299.00"
7,2023/11/21,520.00,-0.95,525.00,505.00,525.00,689,"352,996.20"
8,2023/11/20,525.00,-0.94,525.00,519.40,520.00,292,"152,207.90"
9,2023/11/09,530.00,1.92,530.40,510.50,510.50,138,"71,539.50"
10,2023/11/08,520.00,0,520.00,513.00,520.00,392,"203,337.40"
11,2023/11/07,520.00,0,525.00,520.00,522.00,209,"109,159.00"
12,2023/11/06,520.00,1.76,520.00,502.20,510.00,426,"216,423.60"
13,2023/11/05,511.00,-2.48,516.00,511.00,513.60,722,"370,982.10"
14,2023/11/02,524.00,-0.19,525.00,520.00,525.00,419,"218,632.30"
15,2023/11/01,525.00,-0.94,535.00,520.00,535.00,"1,375","723,264.70"
16,2023/10/31,530.00,-2.75,534.20,523.50,534.20,648,"341,813.80"
17,2023/10/30,545.00,-1.45,545.00,532.00,542.00,542,"292,121.10"
18,2023/10/29,553.00,-0.36,555.00,544.00,555.00,125,"69,013.20"
19,2023/10/19,555.00,1.83,555.00,545.00,553.00,476,"262,589.00"
20,2023/10/18,545.00,1.87,555.00,544.00,545.00,362,"199,178.00"
21,2023/10/17,535.00,0.94,551.40,523.00,523.00,322,"171,452.00"
22,2023/10/16,530.00,-1.67,535.00,520.10,529.00,471,"248,659.40"
23,2023/10/12,539.00,0.56,539.00,525.00,530.00,"1,544","815,964.50"
24,2023/10/11,536.00,0.19,545.00,527.10,545.00,447,"238,507.60"
25,2023/10/10,535.00,-2.73,541.00,531.00,541.00,906,"483,641.20"
26,2023/10/09,550.00,0.75,555.90,537.20,540.00,202,"110,827.30"
27,2023/10/08,545.90,-0.75,550.00,540.00,550.00,391,"212,198.50"
28,2023/10/05,550.00,-2.65,571.20,550.00,555.20,455,"252,011.60"
29,2023/10/04,565.00,2.17,570.00,555.00,564.00,784,"443,252.60"
30,2023/10/03,553.00,-1.95,569.90,553.00,560.00,509,"282,505.90"
31,2023/10/02,564.00,2.55,564.00,550.00,561.00,551,"307,954.50"
